Subject,Condition,LH_salvent_A,LH_salvent_B,LH_cont_A,LH_cont_B,LH_cont_C,LH_default_A,LH_default_B,LH_default_C,RH_salvent_A,RH_salvent_B,RH_cont_A,RH_cont_B,RH_cont_C,RH_default_A,RH_default_B,RH_default_C
LR_151425_25_L,body,1.514508266826752,-3.966406471298523,-10.846059117330567,-6.787207267685183,-15.97726516691803,-16.39923847263005,5.47604379137539,-6.197402302866277,11.756476009930193,37.19669789958568,-9.199796167887925,4.166558748499026,4.609710008211799,-3.3497426248033797,20.049973224483644,-3.8063210009737496
LR_151425_25_L,faces,3.4280308731700275,5.350529765433037,-16.677381205751576,-3.6985417550616244,-1.6545982390102794,0.8808565443822607,1.2615846530164565,7.573771550015102,4.883180107245221,46.80965368648101,9.192608076927414,-3.182422309792071,-19.5477908780129,11.554147414354283,-9.808565411029855,3.5787837130922058
LR_151425_25_L,places,-2.7509176316494415,-1.5683288325818516,13.823345688412022,4.128098573930298,-6.771498493037752,14.347361031408376,-0.6648748227901593,4.245469374676037,-10.72725207164158,-10.701540712340403,-6.765383032542178,-6.11603716735877,4.071395233418576,-5.98663879566682,18.879780730577394,-21.168207034785837
LR_151425_25_L,tools,-9.314893520694042,4.083796508901599,26.453510386008062,8.287598755216383,12.239157478142843,-38.05791200173415,9.312787433971067,-16.624629362260592,0.07585058342261242,11.710565672400527,2.9819045098092425,12.654035835520485,34.97040768034135,-7.653641402443691,5.7481487501573785,-1.0215168226449722
LR_102109_25_L,body,5.8121627865282495,0.2702899495022302,24.730503096752518,1.6507093351276063,-9.502134447539733,5.840018954346702,-2.11664959956952,-15.453639792523173,-0.9711998842729399,-11.144482106405826,17.675508300803834,17.23046064058511,-19.227579249322044,-5.193116819957799,-6.666167052566654,-2.7283343207491333
LR_102109_25_L,faces,10.008302693829119,-2.9079264845478017,-40.07957362828453,0.14828922916370235,-7.288505854800013,-9.11898336379818,3.9445763226056334,-4.964482157538751,-0.45477926247512024,9.646117182265808,12.124017559013858,8.174042839614582,-7.877962784772064,16.313920948479474,-2.944074371860002,-1.6149813634707688
LR_102109_25_L,places,22.135451347889976,-11.202154984468631,-37.28091553990731,2.234242613650043,-5.242097388973686,7.216088514223657,-5.344387377735835,-17.32612274871293,-6.87609480614071,1.3627544746815623,-27.144930801837518,-11.701029399213052,101.53967365721877,-2.070505082576674,8.611073387619442,-1.1883318525632767
LR_102109_25_L,tools,-2.653003151101731,4.4099110176635525,-12.928175042968778,4.35514243784997,4.407983815608437,4.737434576661014,19.939611862509885,0.6964687859613556,-0.3914546284939391,-5.4056410707201366,-0.14662144253947407,7.568619137935163,-54.248097251998495,1.2444122858758373,26.51584465225412,3.1530336540440933
LR_304020_25_L,body,-0.9354324681884894,4.408575804177206,13.642517380064577,-4.205115220247359,4.330590776529331,-8.816033590172085,5.947656125839144,5.521700710267357,-6.268054340085534,2.9870047518804217,1.2757743192154836,0.2186926957484001,-22.139068773763686,5.345826723421021,7.601404486027836,4.8323075148278
LR_304020_25_L,faces,5.065793634561762,-1.7694917044537135,3.823827923756412,8.64962390406032,3.334122705415478,-3.8137570860020227,0.7554391655709796,-13.64506357623832,2.9614983509247783,1.532519981615863,-0.8606681632820625,5.0143592375126245,-38.176879245029085,6.719237032376555,8.3737227078634,4.545907400485417
