Subject,Task,LH_salvent_A,LH_salvent_B,LH_cont_A,LH_cont_B,LH_cont_C,LH_default_A,LH_default_B,LH_default_C,RH_salvent_A,RH_salvent_B,RH_cont_A,RH_cont_B,RH_cont_C,RH_default_A,RH_default_B,RH_default_C
LR_151425_25_L,0bk_body,8.428619752101975,4.298474204967952,-3.749409848678812,6.4537524559913555,15.847624317023465,-1.136808104169157,-1.5684134500625628,10.321541004960872,18.2562474388445,-41.72853247517008,10.762722005665506,5.399839959598,-14.407247900904686,9.15288503039308,-18.002687471904384,15.59387392351459
LR_151425_25_L,0bk_faces,3.518876373185045,3.423545384824229,2.870627137139707,2.0265880996813403,1.0117663584085441,3.3521445541966495,2.6333957174834906,-4.170703519521159,4.526757328176552,-2.379591263167233,-2.403880958393749,0.5782678352225843,-2.633944240135417,-5.2030276870849175,-3.2985295735268045,-1.404241116398452
LR_151425_25_L,0bk_places,8.339350709144975,6.4796927700659595,-9.08344971921167,-0.2942723962319611,10.846294803312723,-8.470594755514025,-0.4189123281499029,-10.234761026430768,15.616326420662903,40.77604440642147,4.530328323948158,3.887552958521832,-4.278704353671628,12.69585709257309,-13.509822237996977,12.884025040078432
LR_151425_25_L,0bk_tools,3.7998983960099317,1.1912492433356519,-35.07208497596892,5.4641912352565365,4.194929327803511,17.019693694773387,-5.074006801077151,15.966319224982605,4.141819655014076,46.17667237530051,-2.4259071155533074,-0.17508183652634943,-24.538881960094702,3.544169036641676,-10.093383925257378,-0.27292674048921617
LR_151425_25_L,2bk_body,9.943128018928727,0.33206773366942866,-14.59546896600938,-0.3334548116938273,-0.12964084989456506,-17.536046576799205,3.907630341312827,4.124138702094595,30.012723448774693,-4.5318345755844,1.562925837777581,9.566398708097026,-9.797537892692887,5.8031424055897,2.0472857525792594,11.78755292254084
LR_151425_25_L,2bk_faces,6.946907246355073,8.774075150257266,-13.80675406861187,-1.671953655380284,-0.6428318806017352,4.23300109857891,3.894980370499947,3.4030680304939427,9.409937435421773,44.43006242331378,6.788727118533665,-2.6041544745694867,-22.181735118148318,6.3511197272693645,-13.10709498455666,2.1745425966937537
LR_151425_25_L,2bk_places,5.588433077495534,4.911363937484108,4.739895969200353,3.833826177698337,4.074796310274971,5.876766275894351,-1.0837871509400623,-5.989291651754731,4.889074349021324,30.074503694081066,-2.23505470859402,-2.228484208836938,-0.2073091202530526,6.709218296906271,5.36995849258042,-8.284181994707403
LR_151425_25_L,2bk_tools,-5.514995124684111,5.275045752237251,-8.618574589960858,13.751789990472918,16.434086805946354,-21.03821830696076,4.238780632893916,-0.6583101372779853,4.217670238436688,57.88723804770104,0.5559973942559352,12.478953998994136,10.431525720246647,-4.109472365802016,-4.345235175099999,-1.2944435631341884
LR_102109_25_L,0bk_body,-7.987091894452948,0.1154035417510523,6.963432568547862,0.19118665032818094,7.700711840946688,-7.463942378846936,-0.1189374162512975,3.3643676331199477,0.30365656664662743,6.961897979631459,-4.562809281707101,-0.9622653168036914,19.11482046415321,1.3671204993509356,6.709743503085326,6.084085246439827
LR_102109_25_L,0bk_faces,-5.193518828318837,-5.164828031727029,10.570555073069778,1.161587734804766,-1.7267640168270781,-2.9152708703561054,-2.2265508645996817,-1.1967029252389771,0.7724775451337212,-1.8099643233857987,2.739651157812264,3.5557724130014847,1.266748289628509,3.1073654009500014,2.3669139295182235,2.7552740865810113
LR_102109_25_L,0bk_places,-12.304474501717063,7.247941416914728,47.590017914429,9.752887202330971,2.969354586005708,-12.66757808389933,14.488844882119256,3.5053188045051726,5.028213665067329,10.033844599478371,28.094526428806198,15.577612073772057,-50.3666809341165,-5.864733811755283,2.256759666488884,11.413701480211401
LR_102109_25_L,0bk_tools,-7.233847237157474,-2.655656814849059,19.29710190611701,0.7690205721123808,0.6910986328548305,-12.840959234578447,-9.524172936359154,-0.38735363402425316,9.069827223807255,10.57600401661812,7.954398233647079,7.676631324599849,15.607383659386121,9.097510229356008,-1.046395746049455,7.071713885969985
LR_102109_25_L,2bk_body,-2.1749291079246977,0.38569349125328245,31.69393566530038,1.8418959854557873,-1.8014226065930443,-1.6239234245002345,-2.2355870158208178,-12.089272159403226,-0.6675433176263125,-4.182584126774367,13.112699019096732,16.26819532378142,-0.11275878516883597,-3.8259963206068632,0.043576450518672094,3.3557509256906934
LR_102109_25_L,2bk_faces,4.814783865510283,-8.07275451627483,-29.509018555214748,1.3098769639684684,-9.01526987162709,-12.034254234154284,1.718025458005952,-6.161185082777728,0.317698282658601,7.836152858880009,14.863668716826123,11.729815252616067,-6.611214495143555,19.421286349429476,-0.5771604423417782,1.1402927231102424
